nodeclaim,createdtime,nodepool,instancetypes,launchedtime,providerid,instancetype,zone,capacitytype,registeredtime,k8snodename,initializedtime,nodereadytime,nodereadytimesec,disruptiontime,disruptionreason,disruptiondecision,disruptednodecount,replacementnodecount,disruptedpodcount,annotationtime,annotation,interruptiontime,tainttime,taint,interruptionkind,deletedtime,nodeterminationtime,nodeterminationtimesec,nodelifecycletime,nodelifecycletimesec,initialized,deleted
spot-844xp,2025-02-07T14:49:55.680Z,spot,c6a.2xlarge|c6a.4xlarge|c6g.2xlarge|c6g.4xlarge|c6gd.2xlarge|and55others,2025-02-07T14:49:58.782Z,i-053025796dbce80a5,c6i.4xlarge,eu-west-1a,spot,2025-02-07T14:50:18.495Z,ip-192-168-39-96.eu-west-1.compute.internal,2025-02-07T14:51:14.271Z,1m18.591s,78.6,,,,,,,2025-02-07T15:15:46.329Z,karpenter.sh/nodeclaim-termination-timestamp:2025-02-07T17:15:46Z,,,2025-02-07T15:15:46.311Z,spot_interrupted,2025-02-07T15:17:38.431Z,1m52.102s,112.1,27m42.751s,1662.8,true,true
default-brbk4,2025-03-04T10:42:53.230Z,default,a1.large|a1.xlarge|c3.large|c4.large|c5.large|and55others,,,,,,,,,0s,0.0,,,,,,,,,,,,,2025-03-04T10:51:38.131Z,0s,0.0,8m44.901s,524.9,false,true
default-lpc62,2025-03-04T10:52:34.876Z,default,a1.large|a1.xlarge|c3.large|c4.large|c5.large|and55others,2025-03-04T10:52:37.374Z,i-01b7f45e2ebdb8bba,t3a.small,eu-west-1a,on-demand,2025-03-04T10:53:04.043Z,ip-192-168-103-49.eu-west-1.compute.internal,2025-03-04T10:53:25.811Z,50.935s,50.9,,,,,,,,,2025-03-04T11:00:49.855Z,,,,2025-03-04T11:00:52.639Z,0s,0.0,8m17.763s,497.8,true,true
default-j4lj7,2025-03-04T11:04:32.927Z,default,a1.large|c1.medium|c3.large|c4.large|c5.large|and55others,2025-03-04T11:04:35.818Z,i-04056a953424f6c80,t3.small,eu-west-1b,spot,2025-03-04T11:04:57.579Z,ip-192-168-159-11.eu-west-1.compute.internal,2025-03-04T11:05:16.544Z,43.617s,43.6,,,,,,,,,2025-03-04T11:12:56.430Z,,,,2025-03-04T11:12:56.999Z,0s,0.0,8m24.072s,504.1,true,true
default-mpz2w,2025-03-04T11:12:58.479Z,default,a1.large|c1.medium|c3.large|c4.large|c5.large|and55others,2025-03-04T11:13:01.287Z,i-02e46e80c1649a960,t3.small,eu-west-1b,spot,2025-03-04T11:13:22.396Z,ip-192-168-152-77.eu-west-1.compute.internal,2025-03-04T11:13:44.756Z,46.277s,46.3,,,,,,,,,2025-03-04T11:18:52.492Z,,,,2025-03-04T11:18:54.219Z,0s,0.0,5m55.74s,355.7,true,true
default-8sxj9,2025-03-04T15:00:22.872Z,default,a1.2xlarge|c1.xlarge|c3.2xlarge|c4.2xlarge|c5.2xlarge|and55others,2025-03-04T15:00:25.659Z,i-0525e65b143c46c90,t3.2xlarge,eu-west-1a,spot,2025-03-04T15:00:48.069Z,ip-192-168-103-109.eu-west-1.compute.internal,2025-03-04T15:00:59.586Z,36.714s,36.7,,,,,,,,,2025-03-04T15:07:04.917Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-04T15:07:11.002Z,0s,0.0,6m48.13s,408.1,true,true
default-zgb22,2025-03-04T15:07:07.255Z,default,a1.2xlarge|c1.xlarge|c3.2xlarge|c4.2xlarge|c5.2xlarge|and55others,2025-03-04T15:07:10.654Z,i-053bd7e7ee5605ed8,t3.2xlarge,eu-west-1a,spot,2025-03-04T15:07:31.022Z,ip-192-168-101-170.eu-west-1.compute.internal,2025-03-04T15:07:42.263Z,35.008s,35.0,,,,,,,,,,,,,,0s,0.0,0s,0.0,true,false
local-storage-raid-al2023-kdsvk,2025-03-10T13:08:43.361Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-10T13:08:45.466Z,i-02d82f4cb7fa217a9,c7gd.large,eu-west-1c,spot,2025-03-10T13:09:04.953Z,ip-10-0-161-204.eu-west-1.compute.internal,2025-03-10T13:09:25.200Z,41.839s,41.8,2025-03-10T13:14:45.729Z,empty,delete,1,0,0,2025-03-10T13:14:46.176Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-11T13:14:46Z,2025-03-10T13:14:46.228Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-10T13:16:20.305Z,1m34.129s,94.1,7m36.944s,456.9,true,true
local-storage-raid-al2023-tq7v5,2025-03-10T13:16:50.090Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-10T13:16:52.245Z,i-0a56fd39574117238,c7gd.large,eu-west-1b,spot,2025-03-10T13:17:13.280Z,ip-10-0-109-76.eu-west-1.compute.internal,2025-03-10T13:17:34.012Z,43.922s,43.9,,,,,,,2025-03-10T13:21:50.065Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-11T13:21:50Z,2025-03-10T13:21:50.114Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-10T13:23:14.892Z,1m24.827s,84.8,6m24.802s,384.8,true,true
local-storage-raid-al2023-9kx8z,2025-03-10T13:21:51.685Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-10T13:21:54.065Z,i-09af71894b8d6ffe9,m6gd.large,eu-west-1a,spot,2025-03-10T13:22:15.134Z,ip-10-0-48-174.eu-west-1.compute.internal,2025-03-10T13:22:40.466Z,48.781s,48.8,,,,,,,2025-03-10T13:26:51.063Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-11T13:26:51Z,2025-03-10T13:26:51.114Z,karpenter.sh/disrupted::NoSchedule,,,,0s,0.0,0s,0.0,true,false
local-storage-raid-al2023-jx2t7,2025-03-10T13:26:53.230Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-10T13:26:55.555Z,i-04c4ce6f8c1a7e617,c7gd.large,eu-west-1b,spot,,,,0s,0.0,,,,,,,,,,,,,,0s,0.0,0s,0.0,false,false
local-storage-raid-al2023-gzxsp,2025-03-11T00:25:18.686Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T00:25:20.918Z,i-04cb92c7a70957514,m6gd.large,eu-west-1a,spot,2025-03-11T00:25:43.325Z,ip-10-0-60-133.eu-west-1.compute.internal,2025-03-11T00:26:10.354Z,51.668s,51.7,,,,,,,2025-03-11T00:30:18.060Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T00:30:18Z,2025-03-11T00:30:18.108Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T00:31:48.090Z,1m30.03s,90.0,6m29.404s,389.4,true,true
local-storage-raid-al2023-s74dz,2025-03-11T00:30:20.131Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T00:30:22.272Z,i-0252cf63fed1abdab,c7gd.large,eu-west-1b,spot,2025-03-11T00:30:40.236Z,ip-10-0-101-67.eu-west-1.compute.internal,2025-03-11T00:31:00.747Z,40.616s,40.6,,,,,,,2025-03-11T00:35:20.060Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T00:35:20Z,2025-03-11T00:35:20.141Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T00:36:38.661Z,1m18.601s,78.6,6m18.53s,378.5,true,true
local-storage-raid-al2023-ssjl7,2025-03-11T00:35:21.694Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T00:35:23.911Z,i-001400c37d1d191c3,c7gd.large,eu-west-1b,spot,2025-03-11T00:35:42.146Z,ip-10-0-108-135.eu-west-1.compute.internal,2025-03-11T00:36:01.362Z,39.668s,39.7,,,,,,,2025-03-11T00:40:21.064Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T00:40:21Z,2025-03-11T00:40:21.130Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T00:41:35.504Z,1m14.44s,74.4,6m13.81s,373.8,true,true
local-storage-raid-al2023-gvvw7,2025-03-11T00:40:23.226Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T00:40:25.412Z,i-0d2e2e9a99eb17bd8,c7gd.large,eu-west-1b,spot,2025-03-11T00:40:44.753Z,ip-10-0-99-37.eu-west-1.compute.internal,2025-03-11T00:41:04.312Z,41.086s,41.1,,,,,,,2025-03-11T00:45:23.064Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T00:45:23Z,2025-03-11T00:45:23.123Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T00:46:32.511Z,1m9.447s,69.4,6m9.285s,369.3,true,true
local-storage-raid-al2023-fq5ws,2025-03-11T00:45:24.669Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T00:45:26.758Z,i-038e979da4da55078,c7gd.large,eu-west-1b,spot,2025-03-11T00:45:45.341Z,ip-10-0-89-144.eu-west-1.compute.internal,2025-03-11T00:46:05.937Z,41.268s,41.3,,,,,,,2025-03-11T00:50:24.059Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T00:50:24Z,2025-03-11T00:50:24.113Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T00:51:33.507Z,1m9.448s,69.4,6m8.838s,368.8,true,true
local-storage-raid-al2023-nhzmc,2025-03-11T00:50:26.231Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T00:50:28.423Z,i-01b46790e0bb6e57b,c7gd.large,eu-west-1c,spot,2025-03-11T00:50:48.164Z,ip-10-0-153-96.eu-west-1.compute.internal,2025-03-11T00:51:07.890Z,41.659s,41.7,,,,,,,2025-03-11T00:55:26.061Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T00:55:26Z,2025-03-11T00:55:26.109Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T00:56:40.451Z,1m14.39s,74.4,6m14.22s,374.2,true,true
local-storage-raid-al2023-tjx7d,2025-03-11T00:55:27.657Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T00:55:29.856Z,i-0f96da7f6b51b2866,c7gd.large,eu-west-1b,spot,2025-03-11T00:55:48.138Z,ip-10-0-80-64.eu-west-1.compute.internal,2025-03-11T00:56:07.852Z,40.195s,40.2,,,,,,,2025-03-11T01:00:27.056Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T01:00:27Z,2025-03-11T01:00:27.109Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T01:01:41.613Z,1m14.557s,74.6,6m13.956s,374.0,true,true
local-storage-raid-al2023-pn9nw,2025-03-11T01:00:29.145Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T01:00:31.351Z,i-03c2cc30a42b21346,m6gd.large,eu-west-1a,spot,2025-03-11T01:00:56.704Z,ip-10-0-11-222.eu-west-1.compute.internal,2025-03-11T01:01:21.013Z,51.868s,51.9,,,,,,,2025-03-11T01:05:29.071Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T01:05:29Z,2025-03-11T01:05:29.119Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T01:07:04.429Z,1m35.358s,95.4,6m35.284s,395.3,true,true
local-storage-raid-al2023-6gwxb,2025-03-11T01:05:30.677Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T01:05:32.788Z,i-0711f116a09eb4ba3,c7gd.large,eu-west-1c,spot,2025-03-11T01:05:52.227Z,ip-10-0-189-205.eu-west-1.compute.internal,2025-03-11T01:06:13.079Z,42.402s,42.4,,,,,,,2025-03-11T01:10:30.073Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T01:10:30Z,2025-03-11T01:10:30.121Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T01:11:40.509Z,1m10.436s,70.4,6m9.832s,369.8,true,true
local-storage-raid-al2023-bprbm,2025-03-11T01:10:32.127Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T01:10:34.414Z,i-094b7a2e85f26de88,m6gd.large,eu-west-1a,spot,2025-03-11T01:10:59.254Z,ip-10-0-29-57.eu-west-1.compute.internal,2025-03-11T01:11:26.192Z,54.065s,54.1,,,,,,,2025-03-11T01:15:32.066Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T01:15:32Z,2025-03-11T01:15:32.114Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T01:17:02.075Z,1m30.009s,90.0,6m29.948s,389.9,true,true
local-storage-raid-al2023-b7pb7,2025-03-11T01:15:33.608Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T01:15:36.124Z,i-0595bfa33ef5dfaf5,c7gd.large,eu-west-1b,spot,2025-03-11T01:15:56.886Z,ip-10-0-118-46.eu-west-1.compute.internal,2025-03-11T01:16:16.732Z,43.124s,43.1,,,,,,,2025-03-11T01:20:33.064Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T01:20:33Z,2025-03-11T01:20:33.112Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T01:22:03.128Z,1m30.064s,90.1,6m29.52s,389.5,true,true
local-storage-raid-al2023-2lm6v,2025-03-11T01:20:35.304Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T01:20:37.755Z,i-0e34ee9a3a8d189d5,c7gd.large,eu-west-1b,spot,2025-03-11T01:20:55.169Z,ip-10-0-105-51.eu-west-1.compute.internal,2025-03-11T01:21:14.305Z,39.001s,39.0,,,,,,,2025-03-11T01:25:35.060Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T01:25:35Z,2025-03-11T01:25:35.104Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T01:27:05.955Z,1m30.895s,90.9,6m30.651s,390.7,true,true
local-storage-raid-al2023-h2qkh,2025-03-11T01:25:37.247Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T01:25:39.495Z,i-047a26af1f7387a33,m6gd.large,eu-west-1a,spot,2025-03-11T01:25:59.955Z,ip-10-0-35-62.eu-west-1.compute.internal,2025-03-11T01:26:26.503Z,49.256s,49.3,,,,,,,2025-03-11T01:30:37.052Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T01:30:37Z,2025-03-11T01:30:37.093Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T01:32:17.421Z,1m40.369s,100.4,6m40.174s,400.2,true,true
local-storage-raid-al2023-8tcrc,2025-03-11T01:30:38.693Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T01:30:40.960Z,i-063060703dec5e497,m6gd.large,eu-west-1a,spot,2025-03-11T01:31:03.274Z,ip-10-0-37-223.eu-west-1.compute.internal,2025-03-11T01:31:28.999Z,50.306s,50.3,,,,,,,2025-03-11T01:35:38.061Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T01:35:38Z,2025-03-11T01:35:38.107Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T01:37:06.034Z,1m27.973s,88.0,6m27.341s,387.3,true,true
local-storage-raid-al2023-2zn56,2025-03-11T01:35:40.212Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T01:35:42.390Z,i-0a7c089c8300cafb0,m6gd.large,eu-west-1a,spot,2025-03-11T01:36:03.816Z,ip-10-0-50-26.eu-west-1.compute.internal,2025-03-11T01:36:29.644Z,49.432s,49.4,,,,,,,2025-03-11T01:40:40.056Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T01:40:40Z,2025-03-11T01:40:40.107Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T01:42:35.874Z,1m55.818s,115.8,6m55.662s,415.7,true,true
local-storage-raid-al2023-pvgp8,2025-03-11T01:40:41.987Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T01:40:44.210Z,i-0a33854143aaebdbc,c7gd.large,eu-west-1b,spot,2025-03-11T01:41:02.218Z,ip-10-0-93-112.eu-west-1.compute.internal,2025-03-11T01:41:23.507Z,41.52s,41.5,,,,,,,2025-03-11T01:45:41.323Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T01:45:41Z,2025-03-11T01:45:41.410Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T01:47:06.553Z,1m25.23s,85.2,6m24.566s,384.6,true,true
local-storage-raid-al2023-kr4wq,2025-03-11T01:45:43.594Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T01:45:45.787Z,i-0e4d50dcdce394eac,m6gd.large,eu-west-1a,spot,2025-03-11T01:46:06.086Z,ip-10-0-1-255.eu-west-1.compute.internal,2025-03-11T01:46:31.639Z,48.045s,48.0,,,,,,,2025-03-11T01:50:43.052Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T01:50:43Z,2025-03-11T01:50:43.100Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T01:52:01.847Z,1m18.795s,78.8,6m18.253s,378.3,true,true
local-storage-raid-al2023-bqs2j,2025-03-11T01:50:45.063Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T01:50:47.289Z,i-0a22fb24fb4123240,m6gd.large,eu-west-1a,spot,2025-03-11T01:51:08.612Z,ip-10-0-0-195.eu-west-1.compute.internal,2025-03-11T01:51:36.006Z,50.943s,50.9,,,,,,,2025-03-11T01:55:45.060Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T01:55:45Z,2025-03-11T01:55:45.106Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T01:57:25.603Z,1m40.543s,100.5,6m40.54s,400.5,true,true
local-storage-raid-al2023-zx67k,2025-03-11T01:55:46.543Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T01:55:48.727Z,i-0c618b65ed97282e5,c7gd.large,eu-west-1c,spot,2025-03-11T01:56:09.620Z,ip-10-0-156-195.eu-west-1.compute.internal,2025-03-11T01:56:29.846Z,43.303s,43.3,,,,,,,2025-03-11T02:00:46.053Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T02:00:46Z,2025-03-11T02:00:46.100Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T02:01:44.946Z,58.893s,58.9,5m58.403s,358.4,true,true
local-storage-raid-al2023-nccxt,2025-03-11T02:00:48.052Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T02:00:50.234Z,i-08b1d0e7a2c3020fb,c7gd.large,eu-west-1c,spot,2025-03-11T02:01:37.328Z,ip-10-0-190-117.eu-west-1.compute.internal,2025-03-11T02:01:56.499Z,1m8.447s,68.4,,,,,,,2025-03-11T02:05:48.054Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T02:05:48Z,2025-03-11T02:05:48.101Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T02:07:18.076Z,1m30.022s,90.0,6m30.024s,390.0,true,true
local-storage-raid-al2023-kdz6j,2025-03-11T02:05:49.569Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T02:05:51.779Z,i-045e12f5ec8870b79,m6gd.large,eu-west-1a,spot,2025-03-11T02:06:14.297Z,ip-10-0-39-35.eu-west-1.compute.internal,2025-03-11T02:06:38.772Z,49.203s,49.2,,,,,,,2025-03-11T02:10:49.056Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T02:10:49Z,2025-03-11T02:10:49.098Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T02:12:03.502Z,1m14.446s,74.4,6m13.933s,373.9,true,true
local-storage-raid-al2023-b9pmz,2025-03-11T02:10:51.079Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T02:10:53.607Z,i-098c4c872d8178128,c7gd.large,eu-west-1c,spot,2025-03-11T02:11:13.849Z,ip-10-0-146-157.eu-west-1.compute.internal,2025-03-11T02:11:33.613Z,42.534s,42.5,,,,,,,2025-03-11T02:15:51.051Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T02:15:51Z,2025-03-11T02:15:51.100Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T02:17:36.592Z,1m45.541s,105.5,6m45.513s,405.5,true,true
local-storage-raid-al2023-pmf5v,2025-03-11T02:15:52.593Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T02:15:54.731Z,i-0f774364b1810380a,c7gd.large,eu-west-1b,spot,2025-03-11T02:16:15.790Z,ip-10-0-126-124.eu-west-1.compute.internal,2025-03-11T02:16:37.039Z,44.446s,44.4,,,,,,,2025-03-11T02:20:52.054Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T02:20:52Z,2025-03-11T02:20:52.094Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T02:22:06.533Z,1m14.479s,74.5,6m13.94s,373.9,true,true
local-storage-raid-al2023-pkhh8,2025-03-11T02:20:54.072Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T02:20:56.189Z,i-0634b7bd3362151a1,c7gd.large,eu-west-1c,spot,2025-03-11T02:21:16.141Z,ip-10-0-142-43.eu-west-1.compute.internal,2025-03-11T02:21:36.763Z,42.691s,42.7,,,,,,,2025-03-11T02:25:54.052Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T02:25:54Z,2025-03-11T02:25:54.097Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T02:27:22.859Z,1m28.807s,88.8,6m28.787s,388.8,true,true
local-storage-raid-al2023-xg2n6,2025-03-11T02:25:55.413Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T02:25:57.566Z,i-09ffd9cfe7b4a7cb1,c7gd.large,eu-west-1b,spot,2025-03-11T02:26:31.466Z,ip-10-0-79-213.eu-west-1.compute.internal,2025-03-11T02:26:51.519Z,56.106s,56.1,,,,,,,2025-03-11T02:30:55.067Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T02:30:55Z,2025-03-11T02:30:55.116Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T02:32:45.926Z,1m50.859s,110.9,6m50.513s,410.5,true,true
local-storage-raid-al2023-nzrtg,2025-03-11T02:30:57.004Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T02:30:59.239Z,i-099668985bbdf73bd,m6gd.large,eu-west-1a,spot,2025-03-11T02:31:20.243Z,ip-10-0-27-182.eu-west-1.compute.internal,2025-03-11T02:31:47.110Z,50.106s,50.1,,,,,,,2025-03-11T02:35:56.059Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T02:35:56Z,2025-03-11T02:35:56.109Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T02:37:11.614Z,1m15.555s,75.6,6m14.61s,374.6,true,true
local-storage-raid-al2023-94csq,2025-03-11T02:35:58.475Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T02:36:00.545Z,i-0d3601c6e7d8a9cd5,c7gd.large,eu-west-1c,spot,2025-03-11T02:36:19.244Z,ip-10-0-189-193.eu-west-1.compute.internal,2025-03-11T02:36:39.049Z,40.574s,40.6,,,,,,,2025-03-11T02:40:58.054Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T02:40:58Z,2025-03-11T02:40:58.098Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T02:42:33.267Z,1m35.213s,95.2,6m34.792s,394.8,true,true
local-storage-raid-al2023-9mv5x,2025-03-11T02:41:00.040Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T02:41:02.229Z,i-0d89a03da51bc68d6,c7gd.large,eu-west-1b,spot,2025-03-11T02:41:22.007Z,ip-10-0-70-89.eu-west-1.compute.internal,2025-03-11T02:41:41.346Z,41.306s,41.3,,,,,,,2025-03-11T02:46:00.122Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T02:46:00Z,2025-03-11T02:46:00.185Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T02:47:00.171Z,1m0.049s,60.0,6m0.131s,360.1,true,true
local-storage-raid-al2023-4pb5r,2025-03-11T02:46:02.571Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T02:46:04.754Z,i-01d6fd996c7342427,c7gd.large,eu-west-1c,spot,2025-03-11T02:46:24.034Z,ip-10-0-181-99.eu-west-1.compute.internal,2025-03-11T02:46:43.592Z,41.021s,41.0,,,,,,,2025-03-11T02:51:02.062Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T02:51:02Z,2025-03-11T02:51:02.110Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T02:52:28.764Z,1m26.702s,86.7,6m26.193s,386.2,true,true
